repo,bug_category,commit_hash,date,author,message,score,diff_snippet
rstudio_bslib_bug_commits,Documentation / Formatting,ba1be9aebb,2025-10-14T23:45:07Z,Carson Sievert,"feat: Add `input_submit_textarea()` input element (#1204)

* feat(input_submit_button, input_submit_textarea): Add new i...",7,"---FILE: DESCRIPTION---
@@ -52,7 +52,7 @@ Suggests:
     magrittr,
     rappdirs,
     rmarkdown (>= 2.7),
-    shiny (> 1.8.1),
+    shiny (>= 1.11.1),
     testthat,
     thematic,
     tools,
@@ -99,6 +99,7 @@ Collate..."
rstudio_bslib_bug_commits,Documentation / Formatting,5fb1f24ab8,2025-10-24T15:52:18Z,Garrick Aden-Buie,"chore: Add AGENTS.md (#1245)

* chore: Add AGENTS.md

* chore: build ignore AGENTS.md

* `air format` (GitHub Actions)

...",7,"---FILE: .Rbuildignore---
@@ -32,3 +32,4 @@ inst/lib/bsw3/.npmignore
 ^cran-comments\.md$
 ^inst/examples-shiny/brand.yml/Monda\.ttf$
 ^inst/examples-shiny/brand.yml/Monda-OFL\.txt$
+^AGENTS\.md$

---FILE: AGENTS.md---
@..."
rstudio_bslib_bug_commits,Documentation / Formatting,68844e2b50,2025-04-09T12:56:43Z,Garrick Aden-Buie,"fix(bs_brand_bundle): Don't re-resolve `brand` (#1196)

* fix(bs_brand_bundle): Don't re-resolve `brand`

* docs: Add ne...",7,"---FILE: NEWS.md---
@@ -6,7 +6,9 @@
 
 * Fixed an issue where the `<main>` areas of `page_sidebar()` and `page_navbar()` (with a `sidebar`) were made to be a fillable containers even when `fillable = FALSE`. (#1188)
 
-*..."
rstudio_bslib_bug_commits,Implementation / Logic,4af29c02b5,2025-04-17T17:05:20Z,Garrick Aden-Buie,"fix(brand_pluck): If not subsettable, return FALSE",6,"---FILE: R/bs-theme-preset-brand.R---
@@ -785,7 +785,8 @@ brand_has <- function(brand, ...) {
   x <- brand
 
   for (f in c(...)) {
-    if (is.null(x[[f]])) return(FALSE)
+    val <- tryCatch(x[[f]], error = function(e..."
rstudio_bslib_bug_commits,Implementation / Logic,f2fc47529b,2025-04-17T16:35:20Z,Garrick Aden-Buie,fix(example): Correctly use download or save button,6,"---FILE: inst/examples-shiny/brand.yml/app.R---
@@ -16,17 +16,6 @@ options(
   # shiny.autoreload.pattern = ""_brand[.]yml|app[.]R|[.]s?css"" ## TODO: Enable after fixing autoreload
 )
 
-if (!file.exists(""Monda.ttf"")) {
-..."
rstudio_bslib_bug_commits,Implementation / Logic,2e6c8d4bbe,2025-01-09T17:55:00Z,Garrick Aden-Buie,"fix(brand): Ignore brand when checking or creating pre-compiled CSS themes (#1161)

* fix(brand): Ignore brand when chec...",6,"---FILE: R/precompiled.R---
@@ -10,7 +10,7 @@ precompiled_css <- local({
       themes <<- lapply(versions, function(version) {
         list(
           version = version,
-          theme = bs_theme(version)
+         ..."
rstudio_bslib_bug_commits,Dependency / Package,220fa5d18f,2025-09-22T15:19:53Z,Garrick Aden-Buie,"fix: Suggest lattice so that it's available for tests (#1231)

* fix: Suggest lattice so that it's available for tests

...",7,"---FILE: DESCRIPTION---
@@ -48,6 +48,7 @@ Suggests:
     future,
     ggplot2,
     knitr,
+    lattice,
     magrittr,
     rappdirs,
     rmarkdown (>= 2.7),"
rstudio_bslib_bug_commits,Dependency / Package,112efd0e8f,2024-07-29T20:30:01Z,Carson Sievert,"v0.8.0 release candidate (#1094)

* Start v0.8.0 release candidate

* `yarn build` (GitHub Actions)

* ran revdepche...",7,"---FILE: DESCRIPTION---
@@ -1,6 +1,6 @@
 Package: bslib
 Title: Custom 'Bootstrap' 'Sass' Themes for 'shiny' and 'rmarkdown'
-Version: 0.7.0.9000
+Version: 0.8.0
 Authors@R: c(
     person(""Carson"", ""Sievert"", , ""carson@..."
rstudio_bslib_bug_commits,Dependency / Package,cf7a5c4e8f,2020-08-27T20:49:34Z,Carson,R CMD check fixes,7,"---FILE: DESCRIPTION---
@@ -32,7 +32,7 @@ Suggests:
     testthat,
     digest,
     thematic
-License: MIT | file LICENSE
+License: MIT + file LICENSE
 Encoding: UTF-8
 LazyData: true
 RoxygenNote: 7.1.1

---FILE: R/bs_..."
rstudio_bslib_bug_commits,Data / Input Handling,7fc84b6ffc,2025-01-21T18:57:32Z,Garrick Aden-Buie,"examples(brand): Show download button if app is packaged too (#1168)

* examples(brand): Show download button if app is ...",6,"---FILE: inst/examples-shiny/brand.yml/app.R---
@@ -12,19 +12,19 @@ library(future)
 plan(multisession)
 
 options(
-	bslib.color_contrast_warnings = FALSE
-	# shiny.autoreload.pattern = ""_brand[.]yml|app[.]R|[.]s?css"" #..."
