repo,bug_category,commit_hash,date,author,message,score,diff_snippet
leppott_ContDataQC_bug_commits,Documentation / Formatting,e969bc3c54,2025-10-02T21:12:48Z,Erik Leppo,"v2.1.0.9002

* fix: Manual merge changes from GitHub and local.  Out of sync.
    + NEWS.rmd
    + DESCRIPTION
    + fun...",7,"---FILE: DESCRIPTION---
@@ -1,6 +1,6 @@
 Package: ContDataQC
 Title: Quality Control (QC) of Continous Monitoring Data
-Version: 2.0.7.9049
+Version: 2.1.0.9002
 Authors@R: c(
 	person(""Erik W"", ""Leppo"", email=""Erik.Lepp..."
leppott_ContDataQC_bug_commits,Documentation / Formatting,5d9dc7bd33,2024-12-27T19:07:35Z,Erik Leppo,"v2.0.7.9048

* refactor: Fix typo in Report_QC.rmd, Issue #167
    + inst/rmd
    + inst/shiny-examples/ContDataQC/rmd",7,"---FILE: DESCRIPTION---
@@ -1,6 +1,6 @@
 Package: ContDataQC
 Title: Quality Control (QC) of Continous Monitoring Data
-Version: 2.0.7.9047
+Version: 2.0.7.9048
 Authors@R: c(
 	person(""Erik W"", ""Leppo"", email=""Erik.Lepp..."
leppott_ContDataQC_bug_commits,Documentation / Formatting,45a81e6bd7,2024-12-26T17:35:23Z,Erik Leppo,"v2.0.7.9045

- fix: Update link to Shinay 3c3_QCThresh_Eval",7,"---FILE: DESCRIPTION---
@@ -1,6 +1,6 @@
 Package: ContDataQC
 Title: Quality Control (QC) of Continous Monitoring Data
-Version: 2.0.7.9044
+Version: 2.0.7.9045
 Authors@R: c(
 	person(""Erik W"", ""Leppo"", email=""Erik.Lepp..."
leppott_ContDataQC_bug_commits,Dependency / Package,638f5f58c6,2024-12-27T13:22:57Z,Erik Leppo,"v2.0.7.9047

- fix: Update shinyalalert for HOBO reformat, Issue \#164
  - Shiny removes empty directories, add ‘remove....",7,"---FILE: DESCRIPTION---
@@ -1,6 +1,6 @@
 Package: ContDataQC
 Title: Quality Control (QC) of Continous Monitoring Data
-Version: 2.0.7.9046
+Version: 2.0.7.9047
 Authors@R: c(
 	person(""Erik W"", ""Leppo"", email=""Erik.Lepp..."
leppott_ContDataQC_bug_commits,Dependency / Package,529015d40d,2024-12-26T18:40:11Z,Erik Leppo,"v2.0.7.9046

- fix: Update shinyalert for HOBO reformat for multiple files",7,"---FILE: DESCRIPTION---
@@ -1,6 +1,6 @@
 Package: ContDataQC
 Title: Quality Control (QC) of Continous Monitoring Data
-Version: 2.0.7.9045
+Version: 2.0.7.9046
 Authors@R: c(
 	person(""Erik W"", ""Leppo"", email=""Erik.Lepp..."
leppott_ContDataQC_bug_commits,Dependency / Package,4971c7d95e,2024-12-02T15:27:18Z,Erik Leppo,"v2.0.7.9037

- fix: Update Shiny file upload parameter check to use names from
  config, Issue \#166",7,"---FILE: DESCRIPTION---
@@ -1,6 +1,6 @@
 Package: ContDataQC
 Title: Quality Control (QC) of Continous Monitoring Data
-Version: 2.0.7.9036
+Version: 2.0.7.9037
 Authors@R: c(
 	person(""Erik W"", ""Leppo"", email=""Erik.Lepp..."
leppott_ContDataQC_bug_commits,Reproducibility / Versioning,8dc679ed07,2024-01-31T19:17:07Z,Erik Leppo,"v2.0.7.9026

- refactor: Move version number from title to about, Issue \#161
- refactor: Add file identifiers to downlo...",7,"---FILE: DESCRIPTION---
@@ -1,6 +1,6 @@
 Package: ContDataQC
 Title: Quality Control (QC) of Continous Monitoring Data
-Version: 2.0.7.9025
+Version: 2.0.7.9026
 Authors@R: c(
 	person(""Erik W"", ""Leppo"", email=""Erik.Lepp..."
leppott_ContDataQC_bug_commits,Reproducibility / Versioning,e933ffc07f,2018-11-27T21:43:04Z,leppott,"v2.0.2.9013

Fix ""file"" version function error.  Issue #68",7,"---FILE: .Rhistory---
@@ -1,170 +1,3 @@
-## Air Pressure
-col_AirBP <- names(df_hobo)[grepl(paste0(find_Barom,"".*"",find_Pres,""|"",find_Pres,"".*"",find_Barom)
-, tolower(names(df_hobo)))]
-## Water Pressure
-# find Pres and..."
leppott_ContDataQC_bug_commits,Rendering / Conversion,cae9ee50e5,2017-08-23T15:41:33Z,leppott,"v2.0.1.9030

More DOCX to HTML reference fixes.  Missed loading v2.0.1.9029.",7,"---FILE: .Rhistory---
@@ -1,177 +1,3 @@
-#
-}##FOR.j.END
-#
-#     # leave as a loop so get RAW and Comment together
-#     j <- myNames.DataFields2Mod
-#     # A. Add comment field and leave blank
-#     data.import[,pa..."
leppott_ContDataQC_bug_commits,Rendering / Conversion,9d2d66c52a,2022-12-22T20:08:23Z,Erik Leppo,"v2.0.7.9007

* fix: Shiny custom edit thresholds
    + Change default config to version without env statement",6,"---FILE: NEWS---
@@ -3,13 +3,20 @@ NEWS-ContDataQC
 
 <!-- NEWS.md is generated from NEWS.Rmd. Please edit that file -->
 
-    #> Last Update: 2022-12-22 13:07:40
+    #> Last Update: 2022-12-22 15:02:31
 
 # Version Hi..."
