repo,bug_category,commit_hash,date,author,message,score,diff_snippet
emptyfield-ds_teaching_warehouse_bug_commits,Rendering / Conversion,5c37bb563e,2025-10-02T19:42:27Z,Malcolm Barrett,fixes,6,"---FILE: containers/_targets.R---
@@ -9,13 +9,15 @@ list(
   ),
   tar_target(
     penguins_figure,
-    ggsave(
-      ""figures/penguins_targets.png"",
-      plot = penguins_plot,
-      width = 6,
-      height = 4
- ..."
emptyfield-ds_teaching_warehouse_bug_commits,Rendering / Conversion,b3dd6e484a,2025-08-08T23:44:21Z,Malcolm Barrett,fix typos,6,"---FILE: types_and_functions/exercises.qmd---
@@ -51,7 +51,7 @@ x
 2. In the function body, we'll return a `tibble`. 
 3. For `x`, have `rnorm()` return 50 random numbers.  
 4. For `sex`, use `rep()` to create 50 values..."
emptyfield-ds_teaching_warehouse_bug_commits,Rendering / Conversion,baa4188124,2025-08-08T23:41:24Z,Malcolm Barrett,fix typo,6,"---FILE: dplyr_5verbs/dplyr_5verbs.html---
@@ -6,11 +6,10 @@
 <script src=""dplyr_5verbs_files/libs/quarto-html/tippy.umd.min.js""></script>
 <link href=""dplyr_5verbs_files/libs/quarto-html/tippy.css"" rel=""stylesheet"">
 <l..."
emptyfield-ds_teaching_warehouse_bug_commits,Environment / Configuration,09a7c2448f,2025-03-25T14:07:56Z,Malcolm Barrett,fix Makefile for slides pipeline,6,"---FILE: make_basics/slides_pipeline/Makefile---
@@ -1,10 +1,5 @@
-library(targets)
-options(tidyverse.quiet = TRUE)
-tar_option_set(packages = ""tidyverse"")
-source(""R/slide_functions"")
+report.html: report.qmd figures/g..."
emptyfield-ds_teaching_warehouse_bug_commits,Environment / Configuration,b29ad831de,2024-09-28T19:35:46Z,Malcolm Barrett,fix dir,3,"---FILE: .gitignore---
@@ -5,5 +5,5 @@
 
 /.quarto/
 __pycache__/
-efficient_coding_patterns_r/fd_calls.csv
-efficient_coding_patterns_r/fd_calls/
+efficient_coding_patterns/fd_calls.csv
+efficient_coding_patterns/fd_cal..."
emptyfield-ds_teaching_warehouse_bug_commits,Implementation / Logic,8133289049,2025-03-24T00:24:43Z,Malcolm Barrett,various whole game fixes,6,"---FILE: targets_whole_game/copy_targets_template.R---
@@ -0,0 +1,19 @@
+copy_targets_template <- function(template) {
+  copied <- file.copy(
+    file.path(""templates"", template),
+    ""_targets.R"",
+    overwrite = TR..."
emptyfield-ds_teaching_warehouse_bug_commits,Implementation / Logic,7a8dccce5f,2025-03-23T23:58:24Z,Malcolm Barrett,fix various errors and warnings in the functions,6,"---FILE: targets_basics/R/functions.R---
@@ -1,6 +1,5 @@
 create_table_one <- function(diabetes) {
   lbls <- list(
-    diabetic ~ ""Diabetes Status"",
     glyhb ~ ""Hemoglobin A1c"",
     ratio ~ ""Waist/Hip Ratio"",
     a..."
emptyfield-ds_teaching_warehouse_bug_commits,Implementation / Logic,1e166455f1,2021-09-03T21:38:40Z,Malcolm Barrett,fix style,6,"---FILE: purrr_basics/exercises.Rmd---
@@ -49,8 +49,12 @@ glimpse(diabetes)
 ```{r YT2-summarise-across}
 diabetes %>% 
   group_by(______) %>% 
-    summarise(across(starts_with(""__""), list(____ = mean), 
-      na.rm =..."
emptyfield-ds_teaching_warehouse_bug_commits,Documentation / Formatting,0c10dd9a46,2019-08-30T14:09:19Z,Malcolm Barrett,fix slide typo,7,"---FILE: purrr_basics/purrr_basics.Rmd---
@@ -831,7 +831,7 @@ ggsave_gapminder <- function(variable) {
     theme(legend.position = ""none"")
     
   ggsave(
-    filename = paste0(""figures"", variable, "".png""), 
+    file..."
emptyfield-ds_teaching_warehouse_bug_commits,Documentation / Formatting,8428a6fdc7,2025-01-22T03:33:42Z,Malcolm Barrett,fix typo,4,"---FILE: data_validation/data_validation.html---
@@ -11,7 +11,7 @@
   <meta name=""generator"" content=""quarto-1.5.56"">
 
   <meta name=""dcterms.date"" content=""2025-01-21"">
-  <title>Data validation in R and Python with</t..."
emptyfield-ds_teaching_warehouse_bug_commits,Documentation / Formatting,56ce4e6464,2024-07-18T16:04:25Z,Malcolm Barrett,fix cholesterol typo,4,"---FILE: py_quarto_whole_game/templates/your_turn_3.qmd---
@@ -97,7 +97,7 @@ diabetes_desc = (stats[""Diabetic""]
     glyhb=""Hemoglobin A1c"",
     ratio=""Waist/Hip Ratio"", 
     age=""Age"", 
-    chol=""Cholestorol""
+    ch..."
emptyfield-ds_teaching_warehouse_bug_commits,Data / Input Handling,9128811327,2023-01-23T19:16:06Z,Malcolm Barrett,fix defaults to match repo,3,"---FILE: _extensions/malcolmbarrett/kakashi/_extension.yml---
@@ -28,4 +28,3 @@ contributes:
       code-overflow: wrap
       menu: false
       incremental: true
-      scrollable: false

---FILE: _extensions/malcolmba..."
emptyfield-ds_teaching_warehouse_bug_commits,Dependency / Package,32f0c31ff9,2021-06-01T14:09:25Z,Malcolm Barrett,fix default,3,"---FILE: targets_basics/_targets.R---
@@ -1,12 +1,10 @@
 library(targets)
-library(tarchetypes)
 options(tidyverse.quiet = TRUE)
-tar_option_set(packages = c(""tidyverse"", ""gapminder""))
+tar_option_set(packages = ""tidyver..."
emptyfield-ds_teaching_warehouse_bug_commits,Visualization / Plotting,2974c7add2,2019-08-26T21:58:54Z,Malcolm Barrett,fix typos in ggplot slides and add ggsave solution,7,"---FILE: ggplot_basics/exercises.Rmd---
@@ -65,7 +65,7 @@ Redo the `glyhb` plot as a density plot.
 
 ## Your Turn 5
 
-Make a bar chart `frame` colored by `gender`. Then, try it with the `fill` aesthetic instead of `col..."
